,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
,"$660,000",4,4,3324,2913 Tropicbird Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-945-2755,5,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric, 2 Units", Frequency: Monthly,Laminate,"Blinds, Double Pane Windows, Low Emissivity Windows, Plantation Shutters, Window Treatments","Attached, Exterior Access Door, Epoxy Flooring, Garage, Inside Entrance",Patio,"Central, Gas","Block, Back Yard, Wrought Iron"
,"$145,000",1,None,None,220 Mission Newport Ln Unit 105,RESALE,Tile,Condominium,,Public Sewer,702-940-4500,1,,"Central Air, Electric", Frequency: Quarterly,"Laminate, Linoleum, Vinyl","Blinds, Drapes","Assigned, Covered, One Space, Guest","Balcony, Covered, Patio","Central, Electric",None
,"$400,000",4,3,1749,6380 Barrington Bridge Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 439-4833,5,,"Central Air, Electric",65,"Carpet, Laminate",Blinds,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$775,000",5,4,3939,11020 Edina Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-898-1221,7,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Laminate, Tile","Double Pane Windows, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance",Patio,"Central, Gas, Multiple Heating Units","Brick, Back Yard"
,"$440,000",3,2,1824,7843 Granite Walk Ave Unit 1,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-445-1115,3,,"Central Air, Electric", Frequency: Quarterly,"Carpet, Tile","Blinds, Low Emissivity Windows","Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$429,000",4,3,2761,2921 Riarosa Ct,RESALE,Other,Single Family Residence,Yes,Public Sewer,(404) 918-6515,4,,"Central Air, Electric",75,"Carpet, Tile",,"Attached, Garage",,"Central, Gas",None
,"$290,000",3,2,1024,7009 Mountain Meadow Ln,RESALE,"Composition, Shingle",Townhouse,Yes,Public Sewer,702-768-1115,3,,"Central Air, Electric",,Ceramic Tile,Blinds,"Attached Carport, Attached, Garage, Guest, Private",Porch,"Central, Gas","Block, Back Yard"
,"$539,900",None,None,3212,4212 Orbit Ave,RESALE,"Composition, Shingle",Multi Family,,Public Sewer,,,,Central Air,750,Other,Blinds,Paved,,"Central, Electric",
,"$321,500",3,2,1265,10245 King Henry Ave Unit 103,RESALE,Tile,Condominium,No,Public Sewer,(775) 350-0192,3,,"Central Air, Electric", Frequency: Monthly,"Linoleum, Vinyl","Blinds, Low Emissivity Windows","Assigned, Covered, Detached Carport, Detached, Garage, Private","Covered, Patio","Central, Gas",None
,"$550,000",2,2,1440,192 Erie Ave,RESALE,Asphalt,Single Family Residence,No,Septic Tank,702-278-7467,2,,"Electric, Window Unit(s)",,"Carpet, Marble, Tile",,"Detached, Garage, Garage Door Opener, Workshop in Garage","Patio, Porch","Electric, None","Chain Link, Full"
,"$565,000",None,1,None,2600 W Harmon Ave Unit 11032,RESALE,,,,,702-373-2589,,,"Electric, 1 Unit",889,,Low Emissivity Windows,Valet,,Electric,
,"$432,500",4,3,2854,4928 Shady Rim Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-375-3237,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$438,000",1,None,None,2000 N Fashion Show Dr Unit 3221,RESALE,,,,,(818) 430-2966,1,,Electric,891,"Carpet, Marble","Blinds, Drapes, Insulated Windows, Tinted Windows, Triple Pane Windows, Window Treatments","Valet, Guest",,"Central, Electric",
,"$165,000",1,None,None,2060 Rancho Lake Dr Unit 108,RESALE,Tile,Condominium,,Public Sewer,(702) 466-0369,1,,"Central Air, Electric",200,"Carpet, Laminate, Marble","Blinds, Window Treatments","Assigned, Covered, Detached Carport, Guest",Porch,"Central, Electric","Block, Full, Wrought Iron"
,"$125,000",1,None,None,5655 E Sahara Ave Unit 1052,RESALE,Tile,Condominium,,Public Sewer,702-202-1769,1,,"Central Air, Electric",255,"Carpet, Linoleum, Vinyl",Blinds,"Assigned, Covered, Guest",Patio,"Central, Gas",None
,"$730,000",3,3,2316,8124 Horizon Lake Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,tamarap@bhhsnv.com,3,"eatures: Gas, Great Room, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Linoleum, Vinyl","Blinds, Double Pane Windows","Attached, Exterior Access Door, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Open, Private","Deck, Patio, Porch",Electric,"Block, Back Yard, Metal"
,"$458,000",3,3,2007,131 La Tourette Ct,RESALE,Tile,Single Family Residence,,Public Sewer,(702) 595-6639,4,"eatures: Gas, Great Room","Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Window Treatments","Finished Garage, Garage Door Opener, Storage, Workshop in Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$625,000",4,4,2363,2929 Autumn Haze Ln Unit D,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 858-7598,5,"eatures: Electric, Family Room","Central Air, Electric, 2 Units", Frequency: Quarterly,"Laminate, Tile","Blinds, Double Pane Windows","Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance, Shelves","Patio, Porch","Central, Gas","Block, Back Yard"
,"$198,000",2,2,None,6711 W Charleston Blvd Unit 3,RESALE,Tile,Condominium,,Public Sewer,702-220-3678,2,"eatures: Gas, Living Room","Central Air, Electric",198,"Carpet, Ceramic Tile, Laminate",Blinds,"Attached Carport, Assigned, Covered",Porch,"Central, Gas","Block, Back Yard"
,"$459,000",3,3,2084,5140 Fiery Sky Ridge St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-326-4901,4,,"Central Air, Electric",82,"Carpet, Ceramic Tile","Double Pane Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$425,000",3,3,2036,10602 Sand Mountain Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 488-2251,5,,"Central Air, Electric",100,"Carpet, Linoleum, Tile, Vinyl","Blinds, Double Pane Windows","Attached, Garage",Patio,"Central, Gas","Block, Back Yard"
,"$595,000",3,3,2440,11613 Cabo Del Verde Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 306-2233,3,,"Central Air, Electric", Frequency: Monthly,"Ceramic Tile, Hardwood, Marble","Blinds, Double Pane Windows","Attached, Garage, Inside Entrance","Balcony, Covered, Patio, Porch","Central, Gas","Block, Back Yard"
,"$335,000",3,3,1385,3401 Yorkminster St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,Trish2List@gmail.com,3,"eatures: Family Room, Gas","Central Air, Electric",190,"Carpet, Tile",Blinds,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$435,000",3,2,1412,4200 Tuffer Ln,RESALE,"Composition, Shingle",Single Family Residence,,Septic Tank,702-901-3678,3,,"Central Air, Electric",,"Carpet, Tile","Blinds, Double Pane Windows, Plantation Shutters",Detached Carport,"Covered, Patio","Central, Electric","Brick, Chain Link, Full, Wrought Iron"
,"$207,000",2,1,None,350 E Desert Inn Rd Unit H105,RESALE,Flat,Condominium,,Public Sewer,702-720-6503,2,,"Central Air, Electric",250,"Linoleum, Vinyl",,"Assigned, Covered, Detached Carport",,"Central, Electric",None
,"$366,000",3,2,1382,689 Indian Row Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-609-9624,3,,"Central Air, Electric",20,"Carpet, Tile","Blinds, Double Pane Windows","Attached, Garage","Covered, Patio","Gas, Solar","Block, Back Yard"
,"$327,000",3,2,1081,44 Sherrill Cir,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,(702) 528-6331,3,,"Central Air, Electric",,"Linoleum, Vinyl","Blinds, Window Treatments","Attached, Garage, Guest, Inside Entrance, Workshop in Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$425,000",5,3,2036,9483 Brewing Cloud Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-315-6100,6,,"Central Air, Gas", Frequency: Monthly,"Carpet, Laminate",,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$338,000",3,2,1056,5110 Rappahanock St,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-545-0020,3,,"Central Air, Electric",,Laminate,Double Pane Windows,Attached Carport,"Covered, Patio, Porch","Central, Gas","Block, Back Yard"
,"$1,175,000",2,3,2137,9101 Alta Dr Unit 1006,RESALE,,,,,702-727-1050,3,,Electric,2758,,Tinted Windows,"Garage, Private, Guest",Terrace,Gas,
,"$315,000",3,2,1712,3821 Don Carlos Dr,RESALE,Asphalt,Single Family Residence,Yes,Public Sewer,702-277-4994,3,"eatures: Electric, Family Room","Central Air, Electric",,Ceramic Tile,,"Attached, Garage",,"Central, Electric","Block, Full"
,"$370,000",4,3,1850,5716 Mount Athos St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-586-1616,4,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows","Attached, Epoxy Flooring, Garage, Garage Door Opener, Guest, Inside Entrance, Open, Workshop in Garage",Porch,"Central, Gas","Back Yard, Metal"
,"$331,000",2,3,1266,595 Lapford St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-358-3107,3,,"Central Air, Electric",56,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$333,000",2,2,1036,570 Cypress Gardens Pl,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-456-4500,2,,"Central Air, Electric",74,"Carpet, Tile",Blinds,"Attached, Garage",,"Central, Gas","Block, Partial"
,"$235,000",2,2,1344,5452 Tres Piedras Rd,RESALE,"Composition, Shingle",Manufactured Home,,Public Sewer,702-616-1910,2,,"Central Air, Electric",89,"Carpet, Linoleum, Vinyl",Blinds,"Attached Carport, Open","Covered, Patio","Central, Gas","Full, Wrought Iron"
,"$725,000",4,4,3280,10980 Wonder Hills St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,6,,"Central Air, Electric",234,"Carpet, Laminate, Tile","Blinds, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance",,"Central, Gas","Block, Back Yard"
,"$435,000",4,3,1949,1557 Evening Shade Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 688-0474,4,"eatures: Family Room, Gas","Central Air, Electric, High Efficiency, 2 Units",,"Carpet, Ceramic Tile","Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Open, Shelves, Storage",Patio,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$385,000",3,3,1737,9317 Golden Lad Ave,RESALE,"Pitched, Tile",Single Family Residence,,Public Sewer,702-872-5733,3,,"Central Air, Electric",70,"Carpet, Tile","Blinds, Double Pane Windows","Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance, Private, Guest","Covered, Patio","Central, Gas","Block, Back Yard"
,"$290,000",2,2,1191,6160 Rumrill St Unit 201,RESALE,Tile,Condominium,,Public Sewer,JoannapAGENT@gmail.com,2,,"Central Air, Electric",220,Laminate,"Blinds, Double Pane Windows","Assigned, Covered, Detached Carport, Open","Balcony, Covered, Patio","Central, Electric",None
,"$515,000",4,3,2516,7816 Observation Peak St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,,5,,"Central Air, Electric, ENERGY STAR Qualified Equipment", Frequency: Quarterly,"Carpet, Laminate, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$440,000",3,2,1610,11196 Piazzale St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-453-8000,3,,"Central Air, Electric", Frequency: Monthly,Ceramic Tile,"Blinds, Double Pane Windows","Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$369,995",4,2,1508,1133 Melville Dr,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,814-450-6335,4,"eatures: Family Room, Gas","Central Air, Electric",,"Linoleum, Vinyl",,,,"Central, Electric","Block, Back Yard"
,"$346,000",1,None,None,145 E Harmon Ave Unit 2808,RESALE,,,,,702-893-3838,1,,"Electric, 1 Unit",1565,,Blinds,Valet,,"Central, Electric",
,"$875,990",6,5,4425,5497 Grapetree St Unit Lot 54,UNDER CONSTRUCTION,Tile,Single Family Residence,Yes,Public Sewer,702-635-3600,7,,"Central Air, Electric, High Efficiency",89,"Carpet, Ceramic Tile, Tile","Double Pane Windows, Low Emissivity Windows","Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance, RV Hook-Ups, RV Gated","Covered, Patio","Central, Gas, High Efficiency, Multiple Heating Units","Block, Back Yard, Wrought Iron"
,"$1,300,000",4,5,3117,6491 Wild Blue Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-359-0383,6,"eatures: Electric, Family Room","Central Air, Electric", Frequency: Monthly,"Ceramic Tile, Laminate","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$675,000",2,2,1712,2777 Paradise Rd Unit 2506,RESALE,,,,,(702) 581-1738,2,,"Electric, 1 Unit", Frequency: Monthly,,Blinds,"Underground, Valet, Guest",Terrace,"Central, Electric",
,"$243,000",3,3,1196,1511 Living Desert Dr Unit C,RESALE,"Flat, Shake",Condominium,,Public Sewer,702-505-3484,3,,"Central Air, Electric",265,"Carpet, Tile",,"Attached Carport, Assigned, Covered",Patio,"Central, Gas","Back Yard, Wood"
,"$319,000",2,3,1350,7630 Sudan Ct Unit 13,RESALE,"Pitched, Tile",Townhouse,Yes,Public Sewer,702-932-8295,2,"eatures: Gas, Glass Doors, Living Room","Central Air, Electric, Refrigerated", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Skylight(s)","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Private, Guest","Balcony, Patio","Central, Gas",None
,"$555,000",4,3,2667,5921 Aurora Gold Ave,NEW,Tile,Single Family Residence,Yes,Public Sewer,(702) 339-6987,5,,"Electric, ENERGY STAR Qualified Equipment",50,"Carpet, Ceramic Tile, Linoleum, Vinyl","Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance",Balcony,"Gas, High Efficiency","Block, Back Yard"
,"$358,000",2,2,1269,1800 Derbyshire Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-313-7003,3,"eatures: Family Room, Gas","Central Air, Electric",99,"Carpet, Tile",Blinds,"Attached, Garage",,"Central, Gas","Block, Full"
,"$326,000",3,2,1442,515 Chelsea Dr,RESALE,"Composition, Shingle",Townhouse,Yes,Public Sewer,702-444-7644,3,"eatures: Gas, Living Room","Central Air, Electric",,"Carpet, Ceramic Tile",,"Attached, Garage, Garage Door Opener, Inside Entrance, Private",,"Central, Gas","Block, Back Yard"
,"$450,000",3,3,1892,6764 Groveview Ln,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-493-5471,3,"eatures: Family Room, Wood Burning","Central Air, Electric",,"Carpet, Laminate",,"Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$329,990",3,2,1173,5804 Carmen Blvd,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-262-9000,3,"eatures: Family Room, Wood Burning","Central Air, Electric",,"Carpet, Laminate, Tile",,"Attached, Garage",,"Central, Electric","Block, Back Yard"
,"$1,400,000",5,5,3934,450 Beautiful Hill Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,david@brownellteamrealtors.com,6,"eatures: Electric, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile, Laminate","Blinds, Double Pane Windows","Attached, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units, Solar","Block, Back Yard"
,"$200,500",2,2,1118,1300 S Arlington St Unit 222,RESALE,Tile,Condominium,No,Public Sewer,(702) 292-2539,2,,"Central Air, Electric",221,"Carpet, Ceramic Tile, Linoleum, Vinyl","Blinds, Double Pane Windows","Assigned, Detached, Finished Garage, Garage, Garage Door Opener, Guest, Uncovered",Balcony,"Central, Gas",None
,"$360,000",4,3,1603,6416 Broadcloth Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-727-1050,5,,"Central Air, Electric",132,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$415,000",4,3,2015,4332 Meadowbloom Ave,RESALE,Tile,Single Family Residence,No,Public Sewer,702-802-9832,5,,"Central Air, Electric",75,"Carpet, Tile",Blinds,"Detached, Garage",Patio,"Central, Gas","Block, Back Yard"
,"$189,900",2,2,None,4410 Rich Dr Unit D,RESALE,"Composition, Shingle",Condominium,,Public Sewer,sold@allisonjung.com,2,,"Central Air, Electric",250,"Laminate, Tile",Blinds,"Assigned, Detached Carport, Guest, One Space",Balcony,"Central, Gas",None
,"$460,000",3,2,1964,3220 Calle de El Cortez,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-221-0055,3,,"Central Air, Electric",320,Tile,Blinds,"Attached, Garage, Guest",,"Central, Electric","Block, Back Yard"
,"$825,000",5,5,4192,10056 Golden Bluff Ave Unit 3,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-985-5739,7,"eatures: Gas, Living Room","Central Air, Electric",45,Marble,"Blinds, Double Pane Windows","Attached, Garage",Balcony,"Central, Gas","Brick, Back Yard"
,"$271,000",3,2,1241,5145 Steep Cliffs Ave,RESALE,"Pitched, Tile",Townhouse,Yes,Public Sewer,(702) 436-3615,3,,"Central Air, Electric", Frequency: Monthly,"Carpet, Linoleum, Vinyl","Blinds, Double Pane Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Guest, Inside Entrance, Private",Porch,"Central, Gas",None
,"$607,000",3,3,2600,10411 Doverwood Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-370-8168,5,"eatures: Gas, Outside","Central Air, Electric", Frequency: Quarterly,"Carpet, Tile","Double Pane Windows, Insulated Windows, Low Emissivity Windows, Plantation Shutters","Attached, Finished Garage, Garage, Inside Entrance","Enclosed, Patio","Central, Gas","Block, Back Yard"
,"$230,000",3,2,1642,3165 Gavilan Ln,RESALE,"Composition, Shingle",Manufactured Home,,Public Sewer,702-655-5460,3,,"Central Air, Electric",89,"Carpet, Linoleum, Vinyl","Blinds, Drapes","Attached Carport, Guest","Covered, Patio, Porch","Central, Gas","Block, Back Yard, Metal, Wrought Iron"
,"$380,000",3,3,1522,9428 Melva Blue Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-609-9624,4,,"Central Air, Electric",87,"Carpet, Linoleum, Vinyl",Blinds,"Attached, Garage, Garage Door Opener, Inside Entrance",,"Central, Gas","Block, Back Yard"
,"$458,000",3,2,1487,2336 Bloomington Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 786-9457,3,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Linoleum, Vinyl",,"Attached, Garage",Patio,"Central, Gas","Block, Back Yard, Stucco Wall"
,"$575,000",4,3,2215,11204 Robin Park Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 321-2130,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Hardwood, Tile","Blinds, Drapes, Window Treatments","Attached, Garage","Covered, Patio","Central, Electric, Gas","Block, Back Yard"
